Model,Scenario_Setting,Risks
DBSCAN,S2_NoiseRobustness_Noise_Std0.05,Precision: Low Risk (Delta: 0.0000); Recall: Low Risk (Delta: 0.0000); F1-Score: Low Risk (Delta: 0.0000); PR-AUC: N/A (Unknown Risk); False Alarm Rate: Low Risk (Delta: -0.0006); Alert Rate: Low Risk (Delta: -0.0004)
DBSCAN,S2_NoiseRobustness_Missing_Rate0.01,Precision: Low Risk (Delta: 0.0000); Recall: Low Risk (Delta: 0.0000); F1-Score: Low Risk (Delta: 0.0000); PR-AUC: N/A (Unknown Risk); False Alarm Rate: Low Risk (Delta: -0.0013); Alert Rate: Low Risk (Delta: -0.0008)
DBSCAN,S2_NoiseRobustness_Missing_Rate0.05,Precision: Low Risk (Delta: 0.0000); Recall: Low Risk (Delta: 0.0000); F1-Score: Low Risk (Delta: 0.0000); PR-AUC: N/A (Unknown Risk); False Alarm Rate: Low Risk (Delta: -0.0018); Alert Rate: Low Risk (Delta: -0.0012)
DBSCAN,S3_ShiftDrift_Window_1,Precision: Low Risk (Delta: 0.0000); Recall: Low Risk (Delta: 0.0000); F1-Score: Low Risk (Delta: 0.0000); PR-AUC: N/A (Unknown Risk); False Alarm Rate: Low Risk (Delta: -0.0017); Alert Rate: Low Risk (Delta: -0.0011)
DBSCAN,S3_ShiftDrift_Window_2,Precision: Low Risk (Delta: 0.0000); Recall: Low Risk (Delta: 0.0000); F1-Score: Low Risk (Delta: 0.0000); PR-AUC: N/A (Unknown Risk); False Alarm Rate: Low Risk (Delta: -0.0008); Alert Rate: Low Risk (Delta: -0.0005)
DBSCAN,S3_ShiftDrift_Window_3,Precision: Low Risk (Delta: 0.0000); Recall: Low Risk (Delta: 0.0000); F1-Score: Low Risk (Delta: 0.0000); PR-AUC: N/A (Unknown Risk); False Alarm Rate: Low Risk (Delta: -0.0010); Alert Rate: Low Risk (Delta: -0.0006)
DBSCAN,S3_ShiftDrift_Window_4,Precision: Low Risk (Delta: 0.0000); Recall: Low Risk (Delta: 0.0000); F1-Score: Low Risk (Delta: 0.0000); PR-AUC: N/A (Unknown Risk); False Alarm Rate: Low Risk (Delta: -0.0017); Alert Rate: Low Risk (Delta: -0.0011)
DBSCAN,S4_Sensitivity_eps0.1_min_samples5,Precision: Low Risk (Delta: 0.0041); Recall: Low Risk (Delta: 0.0001); F1-Score: Low Risk (Delta: 0.0002); PR-AUC: N/A (Unknown Risk); False Alarm Rate: Low Risk (Delta: -0.0104); Alert Rate: Low Risk (Delta: -0.0066)
DBSCAN,S4_Sensitivity_eps0.1_min_samples10,Precision: Low Risk (Delta: 0.0025); Recall: Low Risk (Delta: 0.0001); F1-Score: Low Risk (Delta: 0.0002); PR-AUC: N/A (Unknown Risk); False Alarm Rate: Low Risk (Delta: -0.0178); Alert Rate: Low Risk (Delta: -0.0114)
DBSCAN,S4_Sensitivity_eps0.1_min_samples20,Precision: Low Risk (Delta: 0.0016); Recall: Low Risk (Delta: 0.0001); F1-Score: Low Risk (Delta: 0.0002); PR-AUC: N/A (Unknown Risk); False Alarm Rate: Low Risk (Delta: -0.0290); Alert Rate: Low Risk (Delta: -0.0185)
DBSCAN,S4_Sensitivity_eps0.5_min_samples5,Precision: Low Risk (Delta: 0.0000); Recall: Low Risk (Delta: 0.0000); F1-Score: Low Risk (Delta: 0.0000); PR-AUC: N/A (Unknown Risk); False Alarm Rate: Low Risk (Delta: -0.0000); Alert Rate: Low Risk (Delta: -0.0000)
DBSCAN,S4_Sensitivity_eps0.5_min_samples10,Precision: Low Risk (Delta: 0.0000); Recall: Low Risk (Delta: 0.0000); F1-Score: Low Risk (Delta: 0.0000); PR-AUC: N/A (Unknown Risk); False Alarm Rate: Low Risk (Delta: -0.0007); Alert Rate: Low Risk (Delta: -0.0004)
DBSCAN,S4_Sensitivity_eps0.5_min_samples20,Precision: Low Risk (Delta: 0.0000); Recall: Low Risk (Delta: 0.0000); F1-Score: Low Risk (Delta: 0.0000); PR-AUC: N/A (Unknown Risk); False Alarm Rate: Low Risk (Delta: -0.0015); Alert Rate: Low Risk (Delta: -0.0010)
DBSCAN,S4_Sensitivity_eps1.0_min_samples5,Precision: Low Risk (Delta: 0.0000); Recall: Low Risk (Delta: 0.0000); F1-Score: Low Risk (Delta: 0.0000); PR-AUC: N/A (Unknown Risk); False Alarm Rate: Low Risk (Delta: 0.0011); Alert Rate: Low Risk (Delta: 0.0007)
DBSCAN,S4_Sensitivity_eps1.0_min_samples10,Precision: Low Risk (Delta: 0.0000); Recall: Low Risk (Delta: 0.0000); F1-Score: Low Risk (Delta: 0.0000); PR-AUC: N/A (Unknown Risk); False Alarm Rate: Low Risk (Delta: 0.0010); Alert Rate: Low Risk (Delta: 0.0006)
DBSCAN,S4_Sensitivity_eps1.0_min_samples20,Precision: Low Risk (Delta: 0.0000); Recall: Low Risk (Delta: 0.0000); F1-Score: Low Risk (Delta: 0.0000); PR-AUC: N/A (Unknown Risk); False Alarm Rate: Low Risk (Delta: 0.0005); Alert Rate: Low Risk (Delta: 0.0003)
