Model,Precision,Recall,F1-Score,PR-AUC,False Alarm Rate,Alert Rate,Scenario,Setting,Mean_Latency,P95_Latency,Throughput
DBSCAN,0.0,0.0,0.0,,0.0012085445670428,0.00077,S2_NoiseRobustness,Noise_Std0.01,,,
XGBoost,0.9978053330407112,0.2505856091713285,0.4005726872246696,0.9089502100205202,0.0003139076797513,0.09113,S2_NoiseRobustness,Noise_Std0.05,,,
RandomForest,1.0,0.045140132829939,0.0863810151615029,0.796923035508137,0.0,0.01638,S2_NoiseRobustness,Noise_Std0.05,,,
IsolationForest,0.3628636286362863,0.9999724419213492,0.5324978354343073,0.3050422753510939,1.0,0.99999,S2_NoiseRobustness,Noise_Std0.05,,,
LOF,0.9979,0.2750020668558988,0.4311793808196686,0.9292916745995397,0.0003296030637389,0.1,S2_NoiseRobustness,Noise_Std0.05,,,
DBSCAN,0.0,0.0,0.0,,0.0018363599265456,0.00117,S2_NoiseRobustness,Noise_Std0.05,,,
XGBoost,1.0,0.979524347562488,0.989656276537985,0.9999931248121128,0.0,0.35544,S2_NoiseRobustness,Missing_Rate0.01,,,
RandomForest,1.0,0.9941576873260396,0.9970702855089688,1.0,0.0,0.36075,S2_NoiseRobustness,Missing_Rate0.01,,,
IsolationForest,0.0,0.0,0.0,0.2584390410623635,0.1284981087062295,0.08187,S2_NoiseRobustness,Missing_Rate0.01,,,
LOF,0.6386,0.1759858902637308,0.2759306068658587,0.4232409930617625,0.0567231177310752,0.1,S2_NoiseRobustness,Missing_Rate0.01,,,
DBSCAN,0.0,0.0,0.0,,0.002511261438011,0.0016,S2_NoiseRobustness,Missing_Rate0.01,,,
XGBoost,0.9999388902468834,0.9018656819246562,0.9483735419836268,0.9998935527595012,3.139076797513851e-05,0.32728,S2_NoiseRobustness,Missing_Rate0.05,,,
RandomForest,1.0,0.9649185658775872,0.9821461129577426,0.9999999243740748,0.0,0.35014,S2_NoiseRobustness,Missing_Rate0.05,,,
IsolationForest,0.0,0.0,0.0,0.262282120747962,0.1261281057241065,0.08036,S2_NoiseRobustness,Missing_Rate0.05,,,
LOF,0.9364,0.2580538484856836,0.4046060448938147,0.6906974617871154,0.009982264216094,0.1,S2_NoiseRobustness,Missing_Rate0.05,,,
DBSCAN,0.0,0.0,0.0,,0.0030292091096008,0.00193,S2_NoiseRobustness,Missing_Rate0.05,,,
XGBoost,1.0,1.0,1.0,1.0,0.0,0.3621866666666666,S3_ShiftDrift,Window_1,,,
RandomForest,1.0,0.9999263731409218,0.9999631852151823,0.9999999972897424,0.0,0.36216,S3_ShiftDrift,Window_1,,,
IsolationForest,0.0,0.0,0.0,0.2640638886247783,0.1448699724057195,0.0924,S3_ShiftDrift,Window_1,,,
LOF,0.0370666666666666,0.0102341334118686,0.0160396953611816,0.2567177140051665,0.1509741617192073,0.1,S3_ShiftDrift,Window_1,,,
DBSCAN,0.0,0.0,0.0,,0.0028848565933606,0.00184,S3_ShiftDrift,Window_1,,,
XGBoost,1.0,1.0,1.0,1.0,0.0,0.3636533333333333,S3_ShiftDrift,Window_2,,,
RandomForest,1.0,1.0,1.0,1.0,0.0,0.3636533333333333,S3_ShiftDrift,Window_2,,,
IsolationForest,0.0,0.0,0.0,0.2654076431728264,0.1450781544650714,0.09232,S3_ShiftDrift,Window_2,,,
LOF,0.0354666666666666,0.0097528781990173,0.0152987864496462,0.2577161978277154,0.1515735657712777,0.1,S3_ShiftDrift,Window_2,,,
DBSCAN,0.0,0.0,0.0,,0.002053388090349,0.0013066666666666,S3_ShiftDrift,Window_2,,,
XGBoost,1.0,1.0,1.0,1.0,0.0,0.3623466666666666,S3_ShiftDrift,Window_3,,,
RandomForest,1.0,1.0,1.0,1.0,0.0,0.3623466666666666,S3_ShiftDrift,Window_3,,,
IsolationForest,0.0,0.0,0.0,0.2642148389273845,0.1455336232853797,0.0928,S3_ShiftDrift,Window_3,,,
LOF,0.0352,0.0097144539299381,0.0152266697427615,0.2563696498608616,0.1513047842087654,0.1,S3_ShiftDrift,Window_3,,,
DBSCAN,0.0,0.0,0.0,,0.0022164603546336,0.0014133333333333,S3_ShiftDrift,Window_3,,,
XGBoost,0.9999266108909438,1.0,0.9999633040989322,1.0,4.18848167539267e-05,0.36336,S3_ShiftDrift,Window_4,,,
RandomForest,1.0,1.0,1.0,1.0,0.0,0.3633333333333333,S3_ShiftDrift,Window_4,,,
IsolationForest,0.0,0.0,0.0,0.2648739582406129,0.1424502617801047,0.0906933333333333,S3_ShiftDrift,Window_4,,,
LOF,0.0336,0.0092477064220183,0.0145035971223021,0.2562971981124312,0.1517905759162303,0.1,S3_ShiftDrift,Window_4,,,
DBSCAN,0.0,0.0,0.0,,0.0028900523560209,0.00184,S3_ShiftDrift,Window_4,,,
XGBoost,0.999972442680776,1.0,0.999986221150534,1.0,1.5695383987569255e-05,0.36288,S5_RealtimeInference,Batch5000,0.0432825088500976,0.0447551488876342,57760.05288090779
RandomForest,1.0,1.0,1.0,1.0,0.0,0.36287,S5_RealtimeInference,Batch5000,0.0432825088500976,0.0447551488876342,57760.05288090779
XGBoost,0.999972442680776,1.0,0.999986221150534,1.0,1.5695383987569255e-05,0.36288,S5_RealtimeInference,Batch20000,0.0640554904937744,0.0739724159240722,156114.6425218913
RandomForest,1.0,1.0,1.0,1.0,0.0,0.36287,S5_RealtimeInference,Batch20000,0.0640554904937744,0.0739724159240722,156114.6425218913
DBSCAN,0.004054054054054,8.26742359522694e-05,0.0001620439139006,,0.0115674979988385,0.0074,S4_Sensitivity,eps0.1_min_samples5,,,
